,date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
109,2022-03-09,81.40115810249569,69.10866041267388,37.12676168836404,97.33824722419472,159.07175305779083,73.02429287076771,66.4513450563922,129.57849836522803,193.1817321291362
110,2022-03-10,81.3047799183044,69.36976640892324,37.01910051726673,97.212671078102,158.33557706021102,72.88481628187435,66.49954655274158,129.38677708215369,192.27369741611244
111,2022-03-11,81.20052094425297,70.01349353506197,36.90335764416282,97.1254383826859,157.91289022964907,72.70477363976137,66.61152517835396,129.2518733479476,191.82465246460552
112,2022-03-14,80.97523105875544,70.35145795120675,36.78706805754288,96.95693557207758,157.48937186283504,72.49336034850523,66.70099036149762,128.96927698177626,191.1701960771386
113,2022-03-15,80.89411093177132,70.48021944741205,36.71831840174068,96.91169528947674,156.79969731002936,72.31354775349918,66.8963354098686,128.89662838764258,190.32853652256753
114,2022-03-16,80.87496382567984,70.307122657013,36.70051140788277,97.02035707755952,156.32086159953616,72.25655115268557,67.06608319699299,129.11279903408013,189.88073347817044
115,2022-03-17,80.93746355762241,70.03087079462281,36.719189349140024,97.163581287186,156.3493356612928,72.30084008091711,67.19000575015622,129.4716206623859,189.6490222708776
116,2022-03-18,81.19627081672436,70.11038916733933,36.768669509312744,97.49279006436919,156.6171145539511,72.38887360056384,67.30023113869692,129.93967584312105,189.7819540972837
117,2022-03-21,81.4311276299714,70.03840355024937,36.82133509492425,97.80809267619026,157.05933037668467,72.47680667710756,67.35475994240679,130.4493840283227,190.06784111395842
118,2022-03-22,81.70036310533217,70.34144037520666,36.87318492188252,98.05008832343798,157.3397599228084,72.5233507150069,67.43693666858103,130.83764387794108,190.03086094148136
119,2022-03-23,81.96643500174531,70.59785900300677,36.92890658430916,98.26296075275884,157.4187477935844,72.61089173943881,67.53065658240402,131.178450185874,189.93330436144117
120,2022-03-24,82.16716160148707,71.03240381302335,36.94706885572007,98.38643850105333,157.3584493055605,72.66158958566305,67.65161428644781,131.30189142502962,189.77584009305085
121,2022-03-25,82.50879500135119,71.35709318964354,37.00675548462412,98.60992031224913,157.18423842417508,72.71085530764421,67.78528609004181,131.44448301573183,189.5174947548187
122,2022-03-28,82.91674099113561,71.97533957485399,37.06277896050599,98.87247438827525,157.05853920627013,72.79536035828485,67.98015839055952,131.57804714919223,189.5061265281983
123,2022-03-29,83.1742530048255,72.26085697391066,37.1239919031693,99.05051537069369,157.0406087012626,72.84620076891338,68.20734660724497,131.762278546324,189.82062517405637
124,2022-03-30,83.50455052284792,72.51986550155284,37.194123002272235,99.2976224997576,157.2574055411868,72.88863959998929,68.37541316524883,131.9031411941919,190.08995661364435
125,2022-03-31,83.76100911443797,72.80611433612576,37.25512726248937,99.41469255314377,157.461656678823,72.9232276685292,68.53956624764625,132.03969468301085,190.45615680779633
126,2022-04-01,83.89272331604757,72.97961290096333,37.27389488545902,99.45271806476003,157.6549202354978,72.92299762142227,68.73286063479945,132.12038748063702,190.78822366269222
127,2022-04-04,84.19748362976908,73.24217764748172,37.28887173143113,99.47287540118539,157.87396948915324,72.98987328743289,68.94726274398354,132.30983210234558,191.1648558765665
128,2022-04-05,84.4150318566272,73.29047711613542,37.27385694319608,99.43505532711579,158.18214651195902,73.05131854568023,69.14144940357501,132.4535389271661,191.62958707018322
129,2022-04-06,84.55397094377062,73.22009653641774,37.244603458467964,99.26848949909044,158.41234480992574,73.10921265422081,69.35012531525176,132.55595569353494,191.93620438245992
130,2022-04-07,84.56510144142933,73.2127141886579,37.21978231991078,99.01951386662577,158.33235586638034,73.2149630412002,69.60462959167015,132.8055305713745,191.94504102920268
