,date,account_value
234,2022-09-07,988646.06594265
235,2022-09-08,991817.2696017076
236,2022-09-09,1005998.5888918687
237,2022-09-12,1014381.1739596177
238,2022-09-13,971401.918084984
239,2022-09-14,977303.2112826158
240,2022-09-15,970691.1928805162
241,2022-09-16,968013.9117831041
242,2022-09-19,978012.8739718248
243,2022-09-20,967129.5816744615
244,2022-09-21,954035.088144188
245,2022-09-22,942665.2812746812
246,2022-09-23,923919.0213412095
247,2022-09-26,923271.6005038072
248,2022-09-27,916315.5161227037
249,2022-09-28,933957.7350405504
250,2022-09-29,910351.6449374009
251,2022-09-30,893523.5196169664
252,2022-10-03,901941.1685580064
253,2022-10-04,924119.1090639879
254,2022-10-05,918714.6383608629
255,2022-10-06,908626.0540102769
256,2022-10-07,886496.7440279771
257,2022-10-10,885541.9298952867
258,2022-10-11,885928.3268374254
259,2022-10-12,889516.7937105943
260,2022-10-13,901886.999460106
261,2022-10-14,877435.0125826646
262,2022-10-17,899065.015741234
263,2022-10-18,911102.6762331773
264,2022-10-19,904053.1874178697
265,2022-10-20,889146.6671541978
266,2022-10-21,908529.3951968004
267,2022-10-24,918929.6704195787
268,2022-10-25,936121.1396578599
269,2022-10-26,935830.7280215074
270,2022-10-27,934559.2605379869
271,2022-10-28,945866.7588137437
272,2022-10-31,940072.7759035875
273,2022-11-01,934071.2732943345
274,2022-11-02,909057.9266604234
275,2022-11-03,904916.7415102769
276,2022-11-04,914194.3938998033
277,2022-11-07,915749.2810915757
278,2022-11-08,916184.0498751451
279,2022-11-09,898147.4490145494
280,2022-11-10,938995.9000033189
281,2022-11-11,948692.124170189
282,2022-11-14,937724.2395266343
283,2022-11-15,947845.3732546617
284,2022-11-16,943684.2417391588
285,2022-11-17,938328.4903658677
286,2022-11-18,944394.035989647
287,2022-11-21,943178.8202456285
288,2022-11-22,951736.9813479234
289,2022-11-23,959665.9056338121
290,2022-11-25,960254.7479189683
291,2022-11-28,955584.9416292955
292,2022-11-29,952211.7894839097
293,2022-11-30,977464.7602938463
294,2022-12-01,974970.9895571519
295,2022-12-02,976831.5580080796
296,2022-12-05,957392.7171572496
297,2022-12-06,947460.8109835435
298,2022-12-07,947152.772104149
299,2022-12-08,954043.970956688
300,2022-12-09,948102.500253563
301,2022-12-12,954720.0104464341
302,2022-12-13,953955.2509554673
303,2022-12-14,950471.5698489
304,2022-12-15,934558.1614931871
305,2022-12-16,924296.3650454332
306,2022-12-19,917484.4134157945
