train/entropy_loss,train/explained_variance,time/total_timesteps,train/policy_loss,time/time_elapsed,train/reward,train/std,time/iterations,train/n_updates,time/fps,train/value_loss,train/learning_rate
-13.1875581741333,0.0,31000,42.3869514465332,212,0.13206248,1.0488497018814087,6200,6199,145,11.422208786010742,0.0007
-13.189962387084961,0.0,31500,-64.87873840332031,215,-5.291503,1.0491080284118652,6300,6299,146,31.260791778564453,0.0007
-13.161389350891113,1.1920928955078125e-07,32000,-20.532934188842773,220,0.31338495,1.0456137657165527,6400,6399,145,37.079490661621094,0.0007
-13.139684677124023,0.0,32500,-63.815391540527344,223,-2.061896,1.043204426765442,6500,6499,145,29.29009437561035,0.0007
-13.140599250793457,0.0,33000,30.106287002563477,226,0.32940674,1.0432360172271729,6600,6599,145,7.494534492492676,0.0007
-13.164604187011719,0.0,33500,-33.95164108276367,229,1.2861681,1.0461046695709229,6700,6699,145,14.301183700561523,0.0007
-13.15221118927002,1.7881393432617188e-07,34000,5.69921875,233,0.82496554,1.0448803901672363,6800,6799,145,0.4356305003166199,0.0007
-13.163701057434082,1.1920928955078125e-07,34500,-8.283178329467773,237,1.8488666,1.046609878540039,6900,6899,145,2.6748766899108887,0.0007
-13.152414321899414,1.1920928955078125e-07,35000,184.03927612304688,240,8.002725,1.044988989830017,7000,6999,145,237.55050659179688,0.0007
-13.125249862670898,5.960464477539063e-08,35500,5.373744010925293,243,-0.94600636,1.0417101383209229,7100,7099,145,0.5600689053535461,0.0007
-13.13122844696045,-1.1920928955078125e-07,36000,59.9531364440918,246,0.21420604,1.0429250001907349,7200,7199,145,27.490489959716797,0.0007
-13.086572647094727,0.0,36500,-35.496559143066406,251,5.480161,1.0378797054290771,7300,7299,145,8.783158302307129,0.0007
-13.09666633605957,0.0,37000,-121.89387512207031,254,-1.5803518,1.0388600826263428,7400,7399,145,91.78753662109375,0.0007
-13.099199295043945,0.0,37500,-7.740020751953125,257,1.9564614,1.0390644073486328,7500,7499,145,0.5864992141723633,0.0007
-13.082952499389648,1.1920928955078125e-07,38000,-30.7343807220459,260,-0.61329424,1.0371546745300293,7600,7599,145,12.219192504882812,0.0007
-13.01896858215332,0.0,38500,-101.52838134765625,264,0.3422231,1.029770016670227,7700,7699,145,81.43730163574219,0.0007
-13.011883735656738,-1.1920928955078125e-07,39000,-2.8960185050964355,268,-0.56218994,1.0291695594787598,7800,7799,145,0.4206782281398773,0.0007
-13.065130233764648,0.0,39500,-17.64552879333496,271,1.2533737,1.0347926616668701,7900,7899,145,2.473468542098999,0.0007
-13.064138412475586,-1.1920928955078125e-07,40000,35.017822265625,274,0.29852238,1.0347628593444824,8000,7999,145,8.692636489868164,0.0007
-13.103894233703613,0.0,40500,53.776885986328125,277,-2.905516,1.039327621459961,8100,8099,145,21.577545166015625,0.0007
-13.141446113586426,1.1920928955078125e-07,41000,-27.128307342529297,282,7.6284714,1.0440058708190918,8200,8199,145,33.287410736083984,0.0007
-13.19678783416748,0.0,41500,35.3990478515625,285,3.7041981,1.0506091117858887,8300,8299,145,19.1610050201416,0.0007
-13.175036430358887,0.0,42000,-7.2186713218688965,288,0.7603612,1.0479854345321655,8400,8399,145,2.1800928115844727,0.0007
-13.229568481445312,0.0,42500,22.25009536743164,291,-0.5991697,1.0540109872817993,8500,8499,145,3.3636856079101562,0.0007
-13.256505012512207,0.0,43000,-24.315227508544922,296,2.1170962,1.0571601390838623,8600,8599,145,5.538907051086426,0.0007
-13.245828628540039,0.0,43500,7.368974208831787,299,-0.49200967,1.0554437637329102,8700,8699,145,5.901289939880371,0.0007
-13.249094009399414,5.960464477539063e-08,44000,83.69570922851562,302,-2.0244424,1.0561623573303223,8800,8799,145,43.57981872558594,0.0007
-13.25562858581543,0.0,44500,65.06089782714844,305,-2.655074,1.0569605827331543,8900,8899,145,26.55002212524414,0.0007
-13.251779556274414,-1.1920928955078125e-07,45000,4.304660320281982,309,1.7328625,1.056715488433838,9000,8999,145,2.469852924346924,0.0007
-13.240442276000977,1.1920928955078125e-07,45500,-9.490447044372559,313,0.45227265,1.054917335510254,9100,9099,145,0.5383817553520203,0.0007
-13.256914138793945,-1.1920928955078125e-07,46000,-23.951894760131836,316,0.44854257,1.0573594570159912,9200,9199,145,5.479802131652832,0.0007
-13.300920486450195,0.0,46500,16.511547088623047,319,-0.67021066,1.0620605945587158,9300,9299,145,5.847475528717041,0.0007
-13.332364082336426,0.0,47000,-34.188255310058594,322,-0.009986861,1.065844178199768,9400,9399,145,6.280474662780762,0.0007
-13.322540283203125,0.0,47500,9.606661796569824,327,-1.69888,1.0649652481079102,9500,9499,145,3.093322277069092,0.0007
-13.343667984008789,0.0,48000,104.19952392578125,330,6.863434,1.06785249710083,9600,9599,145,89.1944808959961,0.0007
-13.343160629272461,-1.1920928955078125e-07,48500,-20.816146850585938,333,-0.3568112,1.0681393146514893,9700,9699,145,7.20711612701416,0.0007
-13.333330154418945,0.0,49000,-57.54878616333008,336,1.3855414,1.0667048692703247,9800,9799,145,18.2258243560791,0.0007
-13.308317184448242,-1.1920928955078125e-07,49500,31.58330726623535,340,0.74794465,1.0637097358703613,9900,9899,145,6.031856536865234,0.0007
-13.318479537963867,0.0,50000,32.43610382080078,344,1.7319541,1.0646679401397705,10000,9999,145,7.480647087097168,0.0007
