,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,26.716014862060547,15.58899974822998,25.661500930786133,36.5740966796875,13.680000305175781,29.725000381469727,15.58899974822998,25.661500930786133,42.0099983215332,13.680000305175781,29.797500610351562,15.640000343322754,25.75950050354004,42.119998931884766,13.732000350952148,28.889999389648438,14.966500282287598,25.173999786376953,40.790000915527344,13.100000381469727,29.079999923706055,15.236499786376953,25.645000457763672,40.93000030517578,13.404666900634766,337745600,173132000,79018000,63585300,53221500
2015-01-30,26.32504653930664,17.726499557495117,26.877500534057617,35.172420501708984,13.573332786560059,29.290000915527344,17.726499557495117,26.877500534057617,40.400001525878906,13.573332786560059,30.0,17.975000381469727,27.155000686645508,41.58000183105469,13.83133316040039,29.212499618530273,17.03700065612793,25.909000396728516,40.349998474121094,13.533332824707031,29.600000381469727,17.31599998474121,25.950000762939453,41.54999923706055,13.597332954406738,334982000,477122000,121108000,78004900,45105000
2015-02-02,26.65534210205078,18.223499298095703,26.610000610351562,35.93855285644531,14.062666893005371,29.657499313354492,18.223499298095703,26.610000610351562,41.279998779296875,14.062666893005371,29.792499542236328,18.25,26.825000762939453,41.369998931884766,14.130000114440918,29.020000457763672,17.500499725341797,26.086000442504883,40.22999954223633,13.553333282470703,29.512500762939453,17.502500534057617,26.715999603271484,40.59000015258789,13.597999572753906,250956400,204638000,75378000,50352500,62238000
2015-02-03,26.659833908081055,18.177499771118164,26.665000915527344,36.217140197753906,14.557332992553711,29.662500381469727,18.177499771118164,26.665000915527344,41.599998474121094,14.557332992553711,29.772499084472656,18.391000747680664,26.872499465942383,41.93000030517578,14.691332817077637,29.40250015258789,18.010499954223633,26.340499877929688,41.04999923706055,14.084667205810547,29.625,18.01449966430664,26.496999740600586,41.630001068115234,14.214667320251465,207662800,124252000,47062000,52082400,72393000
2015-02-04,26.864309310913086,18.237499237060547,26.30500030517578,36.426090240478516,14.569999694824219,29.889999389648438,18.237499237060547,26.30500030517578,41.84000015258789,14.569999694824219,30.127500534057617,18.375,26.837499618530273,42.209999084472656,14.76533317565918,29.577499389648438,17.911500930786133,26.25149917602539,41.36000061035156,14.453332901000977,29.625,17.91900062561035,26.656999588012695,41.939998626708984,14.552666664123535,280598800,83398000,33896000,41614800,49581000
2015-02-05,27.056049346923828,18.694499969482422,26.491500854492188,36.95716094970703,14.732666969299316,29.985000610351562,18.694499969482422,26.491500854492188,42.45000076293945,14.732666969299316,30.0575008392334,18.940000534057617,26.534500122070312,42.63999938964844,15.031999588012695,29.8125,18.295000076293945,26.281999588012695,41.86000061035156,14.642666816711426,30.0049991607666,18.299999237060547,26.396499633789062,42.220001220703125,14.658666610717773,168984800,144952000,33176000,36548200,52843500
2015-02-06,26.828214645385742,18.714000701904297,26.694000244140625,36.922340393066406,14.490667343139648,29.732500076293945,18.714000701904297,26.694000244140625,42.40999984741211,14.490667343139648,30.0625,18.79949951171875,27.01099967956543,42.790000915527344,14.893333435058594,29.612499237060547,18.550500869750977,26.4325008392334,42.150001525878906,14.433333396911621,30.0049991607666,18.743499755859375,26.550500869750977,42.68000030517578,14.800000190734863,174826400,77848000,42938000,34616600,48658500
2015-02-09,27.006425857543945,18.527999877929688,26.464000701904297,36.878814697265625,14.498666763305664,29.93000030517578,18.527999877929688,26.464000701904297,42.36000061035156,14.498666763305664,29.959999084472656,18.720500946044922,26.694000244140625,42.7400016784668,14.528667449951172,29.607500076293945,18.360000610351562,26.377500534057617,42.209999084472656,14.13266658782959,29.637500762939453,18.549999237060547,26.55299949645996,42.2400016784668,14.358667373657227,155559200,54492000,30314000,31381100,52086000
2015-02-10,27.525257110595703,18.649999618530273,27.007999420166016,37.08775329589844,14.419333457946777,30.5049991607666,18.649999618530273,27.007999420166016,42.599998474121094,14.419333457946777,30.537500381469727,18.71500015258789,27.049999237060547,42.77000045776367,14.699999809265137,30.040000915527344,18.425500869750977,26.458499908447266,42.18000030517578,14.333333015441895,30.042499542236328,18.559499740600586,26.607500076293945,42.7400016784668,14.50333309173584,248034000,45744000,47430000,29670700,80857500
2015-02-11,28.17041778564453,18.756999969482422,26.899999618530273,36.89621353149414,14.186667442321777,31.219999313354492,18.756999969482422,26.899999618530273,42.380001068115234,14.186667442321777,31.229999542236328,18.854999542236328,27.09749984741211,42.650001525878906,14.315999984741211,30.625,18.55500030517578,26.799999237060547,42.209999084472656,13.8186674118042,30.6924991607666,18.561500549316406,26.986499786376953,42.650001525878906,14.147333145141602,294247200,55730000,38306000,38262500,146536500
