time/total_timesteps,train/learning_rate,train/value_loss,train/n_updates,train/reward,train/entropy_loss,train/std,train/explained_variance,time/fps,time/time_elapsed,train/policy_loss,time/iterations
13000,0.0007,0.6169783473014832,2599,-0.008917774,-12.824638366699219,1.0067027807235718,-0.01042628288269043,137,94,8.269718170166016,2600
13500,0.0007,18.9327392578125,2699,0.28494415,-12.857221603393555,1.0107566118240356,0.0,138,97,52.09589767456055,2700
14000,0.0007,2.562086820602417,2799,-0.51041436,-12.874467849731445,1.0124353170394897,-1.1920928955078125e-07,137,102,-21.890981674194336,2800
14500,0.0007,1.8828003406524658,2899,-0.97882277,-12.860921859741211,1.0113930702209473,0.009934425354003906,136,106,-11.404749870300293,2900
15000,0.0007,2.172398090362549,2999,-1.1698903,-12.877424240112305,1.0132005214691162,-0.008964896202087402,137,109,-13.25151538848877,3000
15500,0.0007,8.279691696166992,3099,-8.484922,-12.882501602172852,1.0137369632720947,-1.1920928955078125e-07,137,112,34.061119079589844,3100
16000,0.0007,4.574210166931152,3199,2.4810274,-12.890706062316895,1.014203667640686,0.0,137,116,-26.974035263061523,3200
16500,0.0007,0.5596835017204285,3299,0.06901999,-12.87512493133545,1.012962818145752,-0.2914539575576782,136,120,6.646256923675537,3300
17000,0.0007,1.9844331741333008,3399,0.99460125,-12.856119155883789,1.0113518238067627,0.0,137,123,-14.159576416015625,3400
17500,0.0007,1.2712725400924683,3499,0.26027137,-12.846841812133789,1.0101957321166992,0.0,137,127,-4.0916314125061035,3500
18000,0.0007,2.6823840141296387,3599,-0.7820679,-12.869030952453613,1.0126124620437622,0.05583757162094116,137,130,-9.35017204284668,3600
18500,0.0007,24.343948364257812,3699,-2.8651047,-12.859428405761719,1.0110652446746826,-0.028165817260742188,136,135,-59.256614685058594,3700
19000,0.0007,42.22224044799805,3799,-1.6742706,-12.84037971496582,1.009261965751648,-0.005035042762756348,136,138,-64.6334457397461,3800
19500,0.0007,0.3629935383796692,3899,0.10168224,-12.845784187316895,1.0099477767944336,-0.07129573822021484,137,142,-4.729453086853027,3900
20000,0.0007,0.616496741771698,3999,-0.3480411,-12.87939739227295,1.0137017965316772,-0.3265954256057739,137,145,2.275796413421631,4000
20500,0.0007,0.8212506175041199,4099,-0.14513041,-12.895240783691406,1.0156495571136475,-0.023351311683654785,136,150,-2.6244099140167236,4100
21000,0.0007,1.9165767431259155,4199,-1.6280382,-12.89378547668457,1.0153287649154663,-0.4156986474990845,136,153,-17.282943725585938,4200
21500,0.0007,0.0965467095375061,4299,0.68112606,-12.892549514770508,1.0155308246612549,0.005731046199798584,137,156,0.8223520517349243,4300
22000,0.0007,0.5254994630813599,4399,-0.13690792,-12.868072509765625,1.0129973888397217,1.1920928955078125e-07,137,159,-5.980907440185547,4400
22500,0.0007,1.7606223821640015,4499,-1.9461914,-12.832743644714355,1.0087164640426636,0.0014129877090454102,136,164,-6.749537467956543,4500
23000,0.0007,0.10879980027675629,4599,0.28973714,-12.834993362426758,1.0086421966552734,-0.05155479907989502,137,167,2.6994736194610596,4600
23500,0.0007,0.8643681406974792,4699,0.23365045,-12.869527816772461,1.0127472877502441,-1.1920928955078125e-07,137,171,7.215562343597412,4700
24000,0.0007,4.199615478515625,4799,0.3531039,-12.877337455749512,1.0139728784561157,0.001346886157989502,137,174,21.39679718017578,4800
24500,0.0007,3.8760414123535156,4899,-1.0018101,-12.872159957885742,1.012826681137085,0.0,137,178,-24.25560188293457,4900
25000,0.0007,3.8135018348693848,4999,-0.40065223,-12.894009590148926,1.0150346755981445,-0.00058746337890625,136,182,-24.72384262084961,5000
25500,0.0007,2.2029483318328857,5099,-6.1581345,-12.903335571289062,1.0168592929840088,0.07042562961578369,137,186,-9.260919570922852,5100
26000,0.0007,1.4434475898742676,5199,0.07743311,-12.963357925415039,1.0233550071716309,0.023726701736450195,137,189,-15.267669677734375,5200
26500,0.0007,12.364938735961914,5299,1.6170996,-13.01648235321045,1.0291714668273926,0.003373861312866211,136,194,-47.51438903808594,5300
27000,0.0007,0.385739803314209,5399,1.6918509,-13.033525466918945,1.0312613248825073,0.0,136,197,-6.818509101867676,5400
27500,0.0007,15.614616394042969,5499,1.5180076,-13.059743881225586,1.0343682765960693,0.0,137,200,41.595680236816406,5500
28000,0.0007,25.30068016052246,5599,2.9195209,-13.109647750854492,1.0403978824615479,0.0,137,203,-37.96684646606445,5600
28500,0.0007,804.5814208984375,5699,7.3347235,-13.078086853027344,1.0370713472366333,-0.02006816864013672,136,208,-330.2627258300781,5700
29000,0.0007,10.053513526916504,5799,0.43953687,-13.047037124633789,1.033393144607544,-0.24164032936096191,136,212,-37.60591506958008,5800
29500,0.0007,4.627011299133301,5899,0.76762813,-13.050329208374023,1.0340797901153564,-0.16685521602630615,137,215,-27.319759368896484,5900
30000,0.0007,2.986210346221924,5999,-0.42365837,-13.020535469055176,1.0307831764221191,0.06784212589263916,137,218,17.6898193359375,6000
30500,0.0007,2.0313098430633545,6099,1.9235135,-13.065820693969727,1.036038875579834,-0.0019485950469970703,137,222,-14.65966510772705,6100
31000,0.0007,4.632191181182861,6199,-0.14892665,-13.07421875,1.0366171598434448,-0.0189669132232666,136,226,23.57742691040039,6200
31500,0.0007,9.40829849243164,6299,-3.250874,-13.088289260864258,1.0382208824157715,-0.1581723690032959,137,229,-38.558433532714844,6300
32000,0.0007,5.9003472328186035,6399,-0.3702697,-13.078241348266602,1.0368256568908691,-1.1920928955078125e-07,137,232,2.0798192024230957,6400
